Date,Open,High,Low,Close,Volume
2018-04-30,4200,4650,4000,4350,7186782
2018-05-31,4325,4500,4100,4450,418320
2018-06-30,4425,4448,3900,3998,109432
2018-07-31,3980,4043,3950,3975,329444
2018-08-31,3980,4250,3775,4200,181918
2018-09-30,4190,4190,3500,3900,60856
2018-10-31,3900,4085,3625,3700,253820
2018-11-30,3620,3980,3600,3800,73075
2018-12-31,3775,4500,3730,4150,79568
2019-01-31,4290,4425,4000,4215,82118
2019-02-28,4300,4350,4100,4200,39081
2019-03-31,4150,4550,4125,4350,61132
2019-04-30,4300,4600,4150,4500,78672
2019-05-31,4495,4925,4000,4100,80463
2019-06-30,4095,4100,3850,4000,101402
2019-07-31,4000,4000,3850,3895,28778
2019-08-31,3900,3900,3800,3800,24680
2019-09-30,3775,3800,2950,2950,63197
2019-10-31,3000,3000,2640,2900,205915
2019-11-30,2900,3005,2700,2745,64462
2019-12-31,2740,2750,2600,2705,48590
2020-01-31,2705,2850,2700,2845,126610
2020-02-29,2850,2850,2740,2805,75682
2020-03-31,2850,3480,2850,3200,122601
2020-04-30,3200,3260,3000,3260,47669
2020-05-31,3255,3480,3200,3345,160606
2020-06-30,3340,3350,2925,2990,94582
2020-07-31,2990,3045,2760,2900,79883
2020-08-31,2880,3000,2770,2900,285261
2020-09-30,2885,2900,2695,2715,174113
2020-10-31,2730,3000,2680,3000,135593
2020-11-30,3000,3000,2650,2750,179389
2020-12-31,2750,2900,2750,2865,181499
2021-01-31,2865,3095,2800,3090,183411
2021-02-28,3095,3320,2950,3320,105265
2021-03-31,3310,3495,3140,3385,258071
2021-04-30,3400,3490,3350,3400,125120
2021-05-31,3420,3695,3150,3175,137022
2021-06-30,3175,3305,3055,3300,207112
2021-07-31,3280,3650,3205,3605,212806
2021-08-31,3625,3995,3600,3825,129499
2021-09-30,3845,4115,3825,4045,201742
2021-10-31,4020,4200,3920,4000,282956
2021-11-30,4000,4005,3805,3900,145469
2021-12-31,3890,3950,3800,3945,349649
2022-01-31,3950,4285,3830,4050,109870
2022-02-28,4030,4790,4005,4785,163434
2022-03-31,4600,4990,4530,4980,157636
2022-04-30,4980,4985,4240,4450,143583
2022-05-31,4450,4600,4005,4595,153914
2022-06-30,4590,4595,3750,3760,174517
2022-07-31,3770,4000,3700,3775,126157
2022-08-31,3775,4000,3760,3810,62214
2022-09-30,3820,4100,3710,4075,114556
2022-10-31,3900,4000,3395,3740,107048
2022-11-30,3700,3740,3205,3265,53130
2022-12-31,3265,3595,3195,3200,65120
2023-01-31,3200,3445,2960,3200,72919
2023-02-28,3290,3485,3100,3300,121457
2023-03-31,3300,3595,3100,3300,68673
2023-04-30,3250,3400,2750,2790,32262
2023-05-31,2700,3000,2585,2900,91675
2023-06-30,2900,3000,2510,2690,118671
2023-07-31,2695,2710,2415,2525,88441
2023-08-31,2530,2530,2175,2200,149156
2023-09-30,2200,2300,2165,2200,105707
2023-10-31,2200,2335,2000,2295,113055
2023-11-30,2295,2295,2080,2200,111048
2023-12-31,2220,2365,2155,2280,86855
2024-01-31,2285,2350,2010,2200,67483
2024-02-29,2150,2270,2050,2095,58434
2024-03-31,2095,2395,2090,2300,181273
2024-04-30,2300,2470,2250,2380,328619
2024-05-31,2425,2780,2405,2720,196268
2024-06-30,2725,2880,2710,2800,139361
2024-07-31,2845,3000,2600,2700,133456
2024-08-31,2680,2780,2475,2745,226669
2024-09-30,2745,2745,2305,2450,134065
2024-10-31,2455,2500,2325,2390,342479
2024-11-30,2385,2395,2195,2300,98906
2024-12-31,2300,2375,2220,2295,52892
2025-01-31,2290,2300,2080,2285,72252
2025-02-28,2285,2500,2270,2450,99799
2025-03-31,2450,2895,2410,2770,148849
2025-04-30,2750,2780,2380,2490,59124
2025-05-31,2485,2650,2250,2585,150926
2025-06-30,2600,2700,2390,2600,79605
2025-07-31,2600,2705,2200,2400,199729
2025-08-31,2400,2450,2215,2335,120048
2025-09-30,2335,2400,2240,2360,137890
2025-10-31,2345,2600,2325,2420,99250
2025-11-30,2420,2550,2385,2540,64744
2025-12-31,2480,2525,2300,2485,79994
2026-01-31,2300,2720,2300,2700,47897
2026-02-28,2710,3020,2500,2790,151773
2026-03-31,2790,3095,2750,2950,175651
2026-04-30,2950,2950,2515,2795,47069
2026-05-31,2795,2900,2590,2900,34453
2026-06-30,2900,3100,2650,2800,114779
2026-07-31,2850,3000,2550,2995,202836
2026-08-31,2995,2995,2780,2900,89787
