Date,Open,High,Low,Close,Volume
2020-10-26,1250,1268,1250,1250,12426
2020-11-02,1250,1350,1225,1350,28746
2020-11-09,1300,1400,1200,1400,13460
2020-11-16,1325,1400,1300,1350,10292
2020-11-23,1350,1350,1250,1350,12322
2020-11-30,1345,1353,1255,1300,29300
2020-12-07,1300,1300,1250,1275,21588
2020-12-14,1273,1325,1250,1323,10628
2020-12-21,1298,1323,1265,1300,7580
2020-12-28,1280,1350,1260,1350,20924
2021-01-04,1315,1350,1278,1278,60924
2021-01-11,1278,1300,1275,1293,4410
2021-01-18,1295,1295,1260,1280,10498
2021-01-25,1280,1298,1263,1295,7132
2021-02-01,1300,1343,1300,1338,16592
2021-02-08,1338,1338,1303,1305,16224
2021-02-15,1305,1338,1288,1293,33144
2021-02-22,1300,1350,1250,1300,124164
2021-03-01,1300,1350,1275,1335,11782
2021-03-08,1335,1350,1325,1345,30626
2021-03-15,1333,1348,1330,1348,9274
2021-03-22,1348,1348,1325,1325,22596
2021-03-29,1325,1398,1325,1375,9316
2021-04-05,1378,1423,1350,1350,6226
2021-04-12,1375,1425,1375,1380,7630
2021-04-19,1380,1450,1375,1450,31128
2021-04-26,1450,1645,1415,1553,56842
2021-05-03,1593,1650,1500,1550,24620
2021-05-10,1550,1625,1550,1600,21470
2021-05-17,1600,1625,1585,1600,31590
2021-05-24,1603,1650,1600,1650,23834
2021-05-31,1605,1693,1605,1690,20800
2021-06-07,1690,1725,1603,1725,107964
2021-06-14,1725,1725,1650,1665,57458
2021-06-21,1670,1745,1665,1698,58280
2021-06-28,1680,1710,1653,1665,95296
2021-07-05,1665,1703,1650,1683,94850
2021-07-12,1700,1825,1700,1750,22396
2021-07-19,1750,1875,1748,1850,31126
2021-07-26,1745,1775,1650,1650,23716
2021-08-02,1653,1700,1650,1695,50136
2021-08-09,1688,1825,1678,1725,70614
2021-08-16,1775,1825,1725,1750,23808
2021-08-23,1750,1935,1733,1800,101662
2021-08-30,1825,1875,1765,1870,162802
2021-09-06,1870,1900,1828,1850,103984
2021-09-13,1865,1870,1850,1863,34354
2021-09-20,1863,2150,1858,2150,56284
2021-09-27,2148,2240,2000,2100,126914
2021-10-04,2078,2100,1950,1955,173908
2021-10-11,1990,2075,1950,1975,138718
2021-10-18,1975,1975,1935,1950,57204
2021-10-25,1950,1950,1900,1900,62654
2021-11-01,1923,2000,1863,1950,140902
2021-11-08,2003,2088,1925,1925,46380
2021-11-15,1948,2095,1900,1903,68768
2021-11-22,1925,1925,1895,1895,26046
2021-11-29,1900,2043,1893,1930,40776
2021-12-06,1950,2100,1933,2000,34598
2021-12-13,2000,2025,1935,1938,28666
2021-12-20,1935,1950,1863,1900,54116
2021-12-27,1900,1940,1888,1925,48192
2022-01-03,1925,1995,1900,1905,52058
2022-01-10,1925,1950,1900,1948,50368
2022-01-17,1950,1993,1925,1975,39412
2022-01-24,1940,2000,1940,1983,52288
2022-01-31,1998,2000,1950,1973,34738
2022-02-07,1970,2000,1948,1973,74008
2022-02-14,1995,2025,1945,2000,117772
2022-02-21,2000,2100,1965,1978,109586
2022-02-28,1978,2123,1978,2098,49768
2022-03-07,2098,2175,2098,2118,60910
2022-03-14,2100,2150,2050,2098,34156
2022-03-21,2100,2125,2025,2125,42284
2022-03-28,2125,2245,2125,2183,36116
2022-04-04,2210,2210,2128,2170,86116
2022-04-11,2160,2185,2125,2150,22394
2022-04-18,2130,2245,2128,2200,274938
2022-04-25,2210,2250,2178,2225,74546
2022-05-02,2235,2250,2200,2200,14356
2022-05-09,2225,2248,2203,2210,62084
2022-05-16,2210,2238,2203,2238,37330
2022-05-23,2238,2350,2225,2300,29726
2022-05-30,2300,2310,2215,2305,23902
2022-06-06,2305,2310,2250,2300,9396
2022-06-13,2300,2348,2263,2335,36142
2022-06-20,2303,2375,2303,2325,52502
2022-06-27,2325,2375,2300,2363,25692
2022-07-04,2250,2250,2075,2155,161368
2022-07-11,2155,2200,2125,2125,127694
2022-07-18,2150,2150,2125,2150,33608
2022-07-25,2150,2245,2128,2200,68274
2022-08-01,2200,2365,2125,2298,65958
2022-08-08,2295,2300,2150,2300,47538
2022-08-15,2250,2295,2225,2295,19906
2022-08-22,2280,2300,2153,2200,45042
2022-08-29,2175,2273,2153,2273,49028
2022-09-05,2273,2300,2225,2275,36006
2022-09-12,2275,2280,2225,2250,24484
2022-09-19,2250,2588,2225,2580,52868
2022-09-26,2580,2593,2255,2303,35968
2022-10-03,2300,2400,2200,2300,49778
2022-10-10,2298,2300,2200,2250,53916
2022-10-17,2250,2445,2150,2398,56890
2022-10-24,2398,2400,2253,2298,14372
2022-10-31,2300,2350,2200,2325,102930
2022-11-07,2300,2300,2200,2250,36746
2022-11-14,2250,2300,2205,2205,36332
2022-11-21,2250,2325,2250,2300,19400
2022-11-28,2325,2325,2250,2250,22164
2022-12-05,2205,2263,2135,2200,28114
2022-12-12,2165,2248,2128,2248,21878
2022-12-19,2248,2293,2203,2243,21178
2022-12-26,2233,2298,2135,2295,12036
2023-01-02,2175,2295,2175,2293,33770
2023-01-09,2288,2300,2225,2240,24406
2023-01-16,2243,2300,2240,2250,40202
2023-01-23,2250,2325,2238,2298,29744
2023-01-30,2298,2470,2253,2425,32264
2023-02-06,2375,2425,2350,2375,17270
2023-02-13,2375,2450,2358,2428,27376
2023-02-20,2430,2498,2425,2450,35346
2023-02-27,2450,2498,2375,2425,61938
2023-03-06,2423,2450,2375,2378,110416
2023-03-13,2423,2500,2408,2500,21406
2023-03-20,2498,2550,2450,2473,122366
2023-03-27,2475,2495,2400,2450,41104
2023-04-03,2425,2450,2350,2400,29456
2023-04-10,2395,2448,2375,2413,21828
2023-04-17,2443,2450,2393,2425,27234
2023-04-24,2438,2448,2375,2420,37492
2023-05-01,2415,2425,2358,2425,18488
2023-05-08,2425,2450,2400,2448,44288
2023-05-15,2448,2473,2400,2473,20020
2023-05-22,2473,2500,2425,2500,23420
2023-05-29,2500,2500,2400,2473,30608
2023-06-05,2473,2543,2450,2543,16900
2023-06-12,2500,2563,2480,2550,24878
2023-06-19,2500,2550,2450,2500,21162
2023-06-26,2500,2500,2473,2500,23466
2023-07-03,2500,2575,2453,2550,43400
2023-07-10,2563,2578,2500,2578,77576
2023-07-17,2600,2718,2550,2718,59916
2023-07-24,2720,2745,2600,2650,37090
2023-07-31,2655,2745,2605,2745,53762
2023-08-07,2745,2795,2700,2795,44388
2023-08-14,2850,2850,2580,2610,29096
2023-08-21,2600,2610,2508,2550,24542
2023-08-28,2550,2615,2505,2550,56286
2023-09-04,2575,2673,2553,2648,53064
2023-09-11,2650,2700,2583,2648,31850
2023-09-18,2650,2700,2485,2655,89638
2023-09-25,2655,2700,2550,2700,26146
2023-10-02,2695,2700,2625,2698,23390
2023-10-09,2648,2695,2625,2675,54326
2023-10-16,2650,2675,2645,2650,38352
2023-10-23,2650,2670,2633,2650,23396
2023-10-30,2663,2670,2633,2665,31352
2023-11-06,2653,2693,2650,2660,36170
2023-11-13,2665,2700,2553,2623,64944
2023-11-20,2623,2673,2623,2673,111378
2023-11-27,2673,2673,2600,2650,68306
2023-12-04,2650,2675,2625,2663,43916
2023-12-11,2650,2750,2553,2650,24822
2023-12-18,2650,2750,2600,2650,47180
2023-12-25,2675,2720,2600,2675,5852
2024-01-01,2675,2675,2625,2675,19654
2024-01-08,2675,2698,2550,2650,9464
2024-01-15,2650,2675,2600,2650,15388
2024-01-22,2650,2650,2600,2630,11956
2024-01-29,2630,2650,2600,2648,32820
2024-02-05,2648,2650,2645,2645,19870
2024-02-12,2650,2663,2625,2648,8018
2024-02-19,2600,2745,2600,2675,95946
2024-02-26,2675,2745,2628,2700,56852
2024-03-04,2675,2745,2640,2690,31666
2024-03-11,2700,2905,2683,2900,43976
2024-03-18,2898,2900,2800,2855,19716
2024-03-25,2850,2900,2800,2838,17466
2024-04-01,2850,2898,2838,2898,9496
2024-04-08,2875,2900,2848,2890,17730
2024-04-15,2890,2920,2845,2895,167788
2024-04-22,2845,2893,2845,2853,34168
2024-04-29,2855,2898,2845,2875,27336
2024-05-06,2853,2898,2703,2750,41282
2024-05-13,2750,2898,2705,2850,27870
2024-05-20,2898,2998,2875,2953,30656
2024-05-27,2925,3048,2900,2975,132574
2024-06-03,3000,3050,2960,2975,65598
2024-06-10,2985,3300,2985,3150,17852
2024-06-17,3155,3240,3108,3175,13092
2024-06-24,3178,3253,3175,3225,40436
2024-07-01,3465,3465,3215,3245,22284
2024-07-08,3300,3395,3205,3263,21550
2024-07-15,3263,3400,3250,3300,18334
2024-07-22,3303,3410,3300,3360,40690
2024-07-29,3403,3430,3180,3250,27894
2024-08-05,3250,3363,3078,3220,30760
2024-08-12,3220,3220,3160,3163,31366
2024-08-19,3175,3200,2925,2998,57858
2024-08-26,2998,3150,2990,3100,24560
2024-09-02,3100,3150,2958,3100,34472
2024-09-09,3053,3210,3053,3200,23688
2024-09-16,3210,3323,3148,3323,23638
2024-09-23,3323,3325,3210,3323,23036
2024-09-30,3323,3335,3275,3320,24728
2024-10-07,3278,3350,3275,3350,23600
2024-10-14,3375,3450,3313,3345,32100
2024-10-21,3375,3390,3300,3325,97816
2024-10-28,3338,3353,3303,3345,25346
2024-11-04,3345,3870,3328,3650,43552
2024-11-11,3678,3723,3600,3675,79632
2024-11-18,3600,3815,3540,3690,49228
2024-11-25,3745,3750,3500,3600,35222
2024-12-02,3630,3840,3550,3600,19486
2024-12-09,3600,3650,3400,3500,16230
2024-12-16,3600,3725,3500,3720,18084
2024-12-23,3715,3720,3500,3560,21702
2024-12-30,3560,3590,3500,3570,22873
2025-01-06,3560,3600,3400,3590,12148
2025-01-13,3595,3600,3240,3540,43927
2025-01-20,3525,3540,3470,3480,26337
2025-01-27,3480,3585,3450,3585,14739
2025-02-03,3585,3585,3500,3525,8900
2025-02-10,3550,3750,3510,3610,38612
2025-02-17,3610,3750,3505,3590,44228
2025-02-24,3595,3840,3590,3800,19688
2025-03-03,3800,3900,3700,3890,27532
2025-03-10,3890,4390,3810,4385,32835
2025-03-17,4385,4400,4250,4350,45416
2025-03-24,4350,4450,4100,4400,39448
2025-03-31,4400,4470,4400,4450,18732
2025-04-07,4450,4600,4395,4505,22105
2025-04-14,4550,5000,4500,4890,24111
2025-04-21,4800,4900,4700,4795,8177
2025-04-28,4795,4895,4550,4700,19445
2025-05-05,4650,4815,4465,4690,24330
2025-05-12,4610,4805,4525,4690,29616
2025-05-19,4620,4950,4350,4905,25587
2025-05-26,4905,4940,4705,4750,17287
2025-06-02,4780,4900,4710,4900,30030
2025-06-09,4900,4900,4755,4800,20806
2025-06-16,4810,4980,4750,4800,122264
2025-06-23,4790,4900,4715,4900,83584
2025-06-30,4895,4895,4655,4800,72239
2025-07-07,4705,4900,4705,4900,65263
